id,ref,merchant,amount,date,narration
BNK-300001,RZP300001,Nimbus Foods,11760.00,2026-08-02,SETTLEMENT RZP300001 Nimbus Foods
BNK-300002,RZP300002,Nimbus Foods,33810.00,2026-08-04,SETTLEMENT RZP300002 Nimbus Foods
BNK-300003,RZP300003,Nimbus Foods,8722.00,2026-08-05,SETTLEMENT RZP300003 Nimbus Foods
BNK-300004,RZP300004,Nimbus Foods,12000.00,2026-08-07,SETTLEMENT RZP300004 Nimbus Foods PARTIAL
BNK-300005,RZP300050,Nimbus Foods,44100.00,2026-08-09,SETTLEMENT RZP300050 Nimbus Foods
BNK-300006,RZP300006,Nimbus Foods,16170.00,2026-08-11,SETTLEMENT RZP300006 Nimbus Foods
BNK-300007,RZP300007,Nimbus Foods,215.60,2026-08-12,SETTLEMENT RZP300007 Nimbus Foods
BNK-300008,RZP300008,Verve Fitness,17640.00,2026-08-03,SETTLEMENT RZP300008 Verve Fitness
BNK-300009,RZP300009,Verve Fitness,28910.00,2026-08-05,SETTLEMENT RZP300009 Verve Fitness
BNK-300010,RZP300010,Verve Fitness,40180.00,2026-08-07,SETTLEMENT RZP300010 Verve Fitness
BNK-300010-DUP,RZP300010,Verve Fitness,40180.00,2026-08-07,SETTLEMENT RZP300010 Verve Fitness DUPLICATE
BNK-300011,RZP300011,Verve Fitness,15190.00,2026-08-09,SETTLEMENT RZP300011 Verve Fitness
