id,ref,merchant,amount,fee,date,narration
LED-100001,RZP100001,Bluewave Studio,4303.4,86.07,2026-08-10,Payment received - Bluewave Studio
LED-100002,RZP100002,Anchor Books,75178.85,1503.58,2026-08-02,Payment received - Anchor Books
LED-100003,RZP100003,Bluewave Studio,23437.86,468.76,2026-08-21,Payment received - Bluewave Studio
LED-100004,RZP100004,Nimbus Foods,7895.52,157.91,2026-08-19,Payment received - Nimbus Foods
LED-100005,RZP100005,Trailhead Logistics,44087.54,881.75,2026-08-14,Payment received - Trailhead Logistics
LED-100006,RZP100006,Orchid Clinic,65121.85,1302.44,2026-08-13,Payment received - Orchid Clinic
LED-100007,RZP100007,Verve Fitness,2299.12,45.98,2026-08-17,Payment received - Verve Fitness
LED-100008,RZP100008,Nimbus Foods,81734.76,1634.7,2026-08-11,Payment received - Nimbus Foods
LED-100010,RZP100010,Nimbus Foods,43585.29,871.71,2026-08-01,Payment received - Nimbus Foods
LED-100011,RZP100011,Nimbus Foods,25548.64,510.97,2026-08-02,Payment received - Nimbus Foods
LED-100012,RZP100012,Nimbus Foods,21019.09,420.38,2026-08-07,Payment received - Nimbus Foods
LED-100013,RZP100013,Verve Fitness,83028.19,1660.56,2026-08-05,Payment received - Verve Fitness
LED-100014,RZP100014,Solstice Travel,63683.85,1273.68,2026-08-03,Payment received - Solstice Travel
LED-100015,RZP100015,Solstice Travel,82766.84,1655.34,2026-08-02,Payment received - Solstice Travel
LED-100016,RZP100016,Solstice Travel,45146.39,902.93,2026-08-10,Payment received - Solstice Travel
LED-100017,RZP100017,Sundown Cafe,21454.39,429.09,2026-08-09,Payment received - Sundown Cafe
LED-100018,RZP100018,Nimbus Foods,73789.88,1475.8,2026-08-05,Payment received - Nimbus Foods
LED-100019,RZP100019,Anchor Books,929.92,18.6,2026-08-13,Payment received - Anchor Books
LED-100021,RZP100021,Padma Electronics,28054.11,561.08,2026-08-09,Payment received - Padma Electronics
LED-100022,RZP100022,Trailhead Logistics,24865.79,497.32,2026-08-10,Payment received - Trailhead Logistics
LED-100023,RZP100023,Nimbus Foods,29235.81,584.72,2026-08-11,Payment received - Nimbus Foods
LED-100024,RZP100024,Verve Fitness,51526.24,1030.52,2026-08-05,Payment received - Verve Fitness
LED-100025,RZP100025,Verve Fitness,28165.28,563.31,2026-08-11,Payment received - Verve Fitness
LED-100026,RZP100026,Kaveri Textiles,73508.9,1470.18,2026-08-16,Payment received - Kaveri Textiles
LED-100027,RZP100027,Sundown Cafe,45211.72,904.23,2026-08-01,Payment received - Sundown Cafe
LED-100029,RZP100029,Anchor Books,81761.4,1635.23,2026-08-17,Payment received - Anchor Books
LED-100030,RZP100030,Padma Electronics,76461.93,1529.24,2026-08-02,Payment received - Padma Electronics
LED-100031,RZP100031,Verve Fitness,19135.29,382.71,2026-08-15,Payment received - Verve Fitness
LED-100032,RZP100032,Solstice Travel,36552.3,731.05,2026-08-20,Payment received - Solstice Travel
LED-100033,RZP100033,Solstice Travel,43633.23,872.66,2026-08-14,Payment received - Solstice Travel
LED-100035,RZP100035,Nimbus Foods,59700.32,1194.01,2026-08-13,Payment received - Nimbus Foods
LED-100036,RZP100036,Trailhead Logistics,60617.06,1212.34,2026-08-15,Payment received - Trailhead Logistics
LED-100037,RZP100037,Verve Fitness,31230.12,624.6,2026-08-16,Payment received - Verve Fitness
LED-100038,RZP100038,Anchor Books,30909.89,618.2,2026-08-21,Payment received - Anchor Books
LED-100039,RZP100039,Trailhead Logistics,70369.23,1407.38,2026-08-04,Payment received - Trailhead Logistics
LED-100040,RZP100040,Anchor Books,20581.01,411.62,2026-08-08,Payment received - Anchor Books
LED-100041,RZP100041,Trailhead Logistics,50479.25,1009.59,2026-08-07,Payment received - Trailhead Logistics
