id,ref,merchant,amount,date,narration
BNK-200001,RZP200001,Nimbus Foods,14700.00,2026-08-02,SETTLEMENT RZP200001 Nimbus Foods
BNK-200002,RZP200002,Bluewave Studio,31801.00,2026-08-04,SETTLEMENT RZP200002 Bluewave Studio
BNK-200003,RZP200003,Kaveri Textiles,8232.00,2026-08-03,SETTLEMENT RZP200003 Kaveri Textiles
BNK-200004,RZP200004,Verve Fitness,23520.00,2026-08-05,SETTLEMENT RZP200004 Verve Fitness
BNK-200005,RZP200005,Orchid Clinic,53900.00,2026-08-06,SETTLEMENT RZP200005 Orchid Clinic
BNK-200006,RZP200006,Sundown Cafe,1225.00,2026-08-06,SETTLEMENT RZP200006 Sundown Cafe
BNK-200007,RZP200007,Padma Electronics,66444.00,2026-08-09,SETTLEMENT RZP200007 Padma Electronics
BNK-200008,RZP200008,Anchor Books,4410.00,2026-08-09,SETTLEMENT RZP200008 Anchor Books
BNK-200009,RZP200009,Trailhead Logistics,40376.00,2026-08-10,SETTLEMENT RZP200009 Trailhead Logistics
BNK-200010,RZP200010,Solstice Travel,77322.00,2026-08-12,SETTLEMENT RZP200010 Solstice Travel
BNK-200011,RZP200011,Nimbus Foods,176.40,2026-08-11,SETTLEMENT RZP200011 Nimbus Foods
BNK-200012,RZP200012,Verve Fitness,12250.00,2026-08-13,SETTLEMENT RZP200012 Verve Fitness
BNK-200013,RZP200031,Bluewave Studio,9604.00,2026-08-13,SETTLEMENT RZP200031 Bluewave Studio
BNK-200014,RZP200041,Kaveri Textiles,21560.00,2026-08-14,SETTLEMENT RZP200041 Kaveri Textiles
BNK-200015,RZP200051,Solstice Travel,34300.00,2026-08-15,SETTLEMENT RZP200051 Solstice Travel
BNK-200016,RZP200016,Orchid Clinic,24000.00,2026-08-16,SETTLEMENT RZP200016 Orchid Clinic PARTIAL
BNK-200017,RZP200017,Trailhead Logistics,35000.00,2026-08-17,SETTLEMENT RZP200017 Trailhead Logistics PARTIAL
BNK-200018,RZP200018,Anchor Books,11000.00,2026-08-18,SETTLEMENT RZP200018 Anchor Books PARTIAL
BNK-200019,RZP200019,Nimbus Foods,25480.00,2026-08-19,SETTLEMENT RZP200019 Nimbus Foods
BNK-200019-DUP,RZP200019,Nimbus Foods,25480.00,2026-08-19,SETTLEMENT RZP200019 Nimbus Foods DUPLICATE
BNK-200020,RZP200020,Verve Fitness,13720.00,2026-08-20,SETTLEMENT RZP200020 Verve Fitness
BNK-200020-DUP,RZP200020,Verve Fitness,13720.00,2026-08-20,SETTLEMENT RZP200020 Verve Fitness DUPLICATE
BNK-200021,RZP200021,Sundown Cafe,18500.00,2026-08-21,SETTLEMENT RZP200021 Sundown Cafe DIRECT
BNK-200022,RZP200022,Padma Electronics,42000.00,2026-08-22,SETTLEMENT RZP200022 Padma Electronics UNRECORDED
