id,ref,merchant,amount,date,narration
BNK-100001,RZP100001,Bluewave Studio,4217.33,2026-08-11,SETTLEMENT RZP100001 Bluewave Studio
BNK-100002,RZP100002,Anchor Books,43603.73,2026-08-03,SETTLEMENT RZP100002 Anchor Books PARTIAL
BNK-100003,RZP100003,Bluewave Studio,22969.1,2026-08-22,SETTLEMENT RZP100003 Bluewave Studio
BNK-100004,RZP100004,Nimbus Foods,7737.61,2026-08-21,SETTLEMENT RZP100004 Nimbus Foods
BNK-100005,RZP100005,Trailhead Logistics,43205.79,2026-08-14,SETTLEMENT RZP100005 Trailhead Logistics
BNK-100006,RZP100006,Orchid Clinic,63819.41,2026-08-13,SETTLEMENT RZP100006 Orchid Clinic
BNK-100007,RZP100007,Verve Fitness,2253.14,2026-08-19,SETTLEMENT RZP100007 Verve Fitness
BNK-100008,RZP100008,Nimbus Foods,80100.06,2026-08-11,SETTLEMENT RZP100008 Nimbus Foods
BNK-100009,RZP100009,Verve Fitness,27458.39,2026-08-04,SETTLEMENT RZP100009 Verve Fitness
BNK-100010,RZP100010,Nimbus Foods,42713.58,2026-08-03,SETTLEMENT RZP100010 Nimbus Foods
BNK-100010-DUP,RZP100010,Nimbus Foods,42713.58,2026-08-03,SETTLEMENT RZP100010 Nimbus Foods
BNK-100011,RZP100011,Nimbus Foods,14818.21,2026-08-04,SETTLEMENT RZP100011 Nimbus Foods PARTIAL
BNK-100013,RZP100013,Verve Fitness,81367.63,2026-08-06,SETTLEMENT RZP100013 Verve Fitness
BNK-100014,RZP100014,Solstice Travel,36936.63,2026-08-04,SETTLEMENT RZP100014 Solstice Travel PARTIAL
BNK-100015,RZP100015,Solstice Travel,81111.5,2026-08-03,SETTLEMENT RZP100015 Solstice Travel
BNK-100016,RZP100016,Solstice Travel,44243.46,2026-08-11,SETTLEMENT RZP100016 Solstice Travel
BNK-100017,RZP100107,Sundown Cafe,21025.3,2026-08-09,SETTLEMENT RZP100107 Sundown Cafe
BNK-100018,RZP100018,Nimbus Foods,72314.08,2026-08-06,SETTLEMENT RZP100018 Nimbus Foods
BNK-100019,RZP100019,Anchor Books,911.32,2026-08-14,SETTLEMENT RZP100019 Anchor Books
BNK-100020,RZP100020,Nimbus Foods,50739.62,2026-08-20,SETTLEMENT RZP100020 Nimbus Foods
BNK-100021,RZP100201,Padma Electronics,27493.03,2026-08-11,SETTLEMENT RZP100201 Padma Electronics
BNK-100022,RZP100022,Trailhead Logistics,14422.15,2026-08-12,SETTLEMENT RZP100022 Trailhead Logistics PARTIAL
BNK-100023,RZP100023,Nimbus Foods,28651.09,2026-08-12,SETTLEMENT RZP100023 Nimbus Foods
BNK-100024,RZP100024,Verve Fitness,50495.72,2026-08-06,SETTLEMENT RZP100024 Verve Fitness
BNK-100025,RZP100205,Verve Fitness,27601.97,2026-08-11,SETTLEMENT RZP100205 Verve Fitness
BNK-100026,RZP100026,Kaveri Textiles,72038.72,2026-08-16,SETTLEMENT RZP100026 Kaveri Textiles
BNK-100027,RZP100027,Sundown Cafe,44307.49,2026-08-03,SETTLEMENT RZP100027 Sundown Cafe
BNK-100028,RZP100028,Anchor Books,70420.14,2026-08-16,SETTLEMENT RZP100028 Anchor Books
BNK-100029,RZP100209,Anchor Books,80126.17,2026-08-17,SETTLEMENT RZP100209 Anchor Books
BNK-100030,RZP100030,Padma Electronics,74932.69,2026-08-03,SETTLEMENT RZP100030 Padma Electronics
BNK-100031,RZP100031,Verve Fitness,11098.46,2026-08-17,SETTLEMENT RZP100031 Verve Fitness PARTIAL
BNK-100032,RZP100032,Solstice Travel,21200.33,2026-08-21,SETTLEMENT RZP100032 Solstice Travel PARTIAL
BNK-100033,RZP100033,Solstice Travel,42760.57,2026-08-14,SETTLEMENT RZP100033 Solstice Travel
BNK-100034,RZP100034,Solstice Travel,19338.81,2026-08-04,SETTLEMENT RZP100034 Solstice Travel
BNK-100035,RZP100035,Nimbus Foods,58506.31,2026-08-13,SETTLEMENT RZP100035 Nimbus Foods
BNK-100036,RZP100036,Trailhead Logistics,59404.72,2026-08-16,SETTLEMENT RZP100036 Trailhead Logistics
BNK-100036-DUP,RZP100036,Trailhead Logistics,59404.72,2026-08-16,SETTLEMENT RZP100036 Trailhead Logistics
BNK-100037,RZP100037,Verve Fitness,30605.52,2026-08-18,SETTLEMENT RZP100037 Verve Fitness
BNK-100039,RZP100039,Trailhead Logistics,68961.85,2026-08-04,SETTLEMENT RZP100039 Trailhead Logistics
BNK-100040,RZP100040,Anchor Books,20169.39,2026-08-10,SETTLEMENT RZP100040 Anchor Books
BNK-100041,RZP100401,Trailhead Logistics,49469.66,2026-08-09,SETTLEMENT RZP100401 Trailhead Logistics
BNK-100042,RZP100042,Verve Fitness,34778.93,2026-08-13,SETTLEMENT RZP100042 Verve Fitness
BNK-100043,RZP100043,Trailhead Logistics,54293.22,2026-08-20,SETTLEMENT RZP100043 Trailhead Logistics
BNK-100044,RZP100044,Solstice Travel,56252.09,2026-08-15,SETTLEMENT RZP100044 Solstice Travel
BNK-100044-DUP,RZP100044,Solstice Travel,56252.09,2026-08-15,SETTLEMENT RZP100044 Solstice Travel
BNK-100045,RZP100405,Sundown Cafe,60969.43,2026-08-06,SETTLEMENT RZP100405 Sundown Cafe
BNK-100046,RZP100046,Sundown Cafe,24777.51,2026-08-03,SETTLEMENT RZP100046 Sundown Cafe
BNK-100047,RZP100407,Anchor Books,56260.67,2026-08-21,SETTLEMENT RZP100407 Anchor Books
BNK-100048,RZP100048,Padma Electronics,56256.15,2026-08-01,SETTLEMENT RZP100048 Padma Electronics
BNK-100049,RZP100049,Solstice Travel,31887.75,2026-08-11,SETTLEMENT RZP100049 Solstice Travel PARTIAL
BNK-100050,RZP100500,Orchid Clinic,13982.71,2026-08-21,SETTLEMENT RZP100500 Orchid Clinic
BNK-100051,RZP100051,Verve Fitness,42655.97,2026-08-10,SETTLEMENT RZP100051 Verve Fitness
BNK-100052,RZP100502,Padma Electronics,65502.63,2026-08-17,SETTLEMENT RZP100502 Padma Electronics
BNK-100053,RZP100053,Trailhead Logistics,15052.1,2026-08-22,SETTLEMENT RZP100053 Trailhead Logistics
BNK-100054,RZP100054,Kaveri Textiles,6994.64,2026-08-13,SETTLEMENT RZP100054 Kaveri Textiles
BNK-100055,RZP100055,Nimbus Foods,58640.74,2026-08-15,SETTLEMENT RZP100055 Nimbus Foods
BNK-100055-DUP,RZP100055,Nimbus Foods,58640.74,2026-08-15,SETTLEMENT RZP100055 Nimbus Foods
BNK-100056,RZP100056,Orchid Clinic,79465.76,2026-08-05,SETTLEMENT RZP100056 Orchid Clinic
BNK-100056-DUP,RZP100056,Orchid Clinic,79465.76,2026-08-05,SETTLEMENT RZP100056 Orchid Clinic
BNK-100057,RZP100057,Kaveri Textiles,11263.36,2026-08-18,SETTLEMENT RZP100057 Kaveri Textiles
